term,definition,domain,deck
response prompts,"Prompts that operate directly on the response, such as verbal, modeling, or physical guidance.",,
response-deprivation hypothesis,Model predicting a behavior functions as reinforcement if access to it is restricted below baseline.,,
restitutional overcorrection,Overcorrection requiring repair of damage and additional behavior after problem behavior.,,
restraint,"Three types: personal restraint (physical restriction), protective equipment restraint, and self-restraint used to limit problem behavior or prevent injury.",,
resurgence,Reoccurrence of previously reinforced behavior when reinforcement for an alternative behavior is reduced or removed.,,
reversal design,"Experimental design verifying effects by withdrawing or reversing the independent variable (e.g., A-B-A-B).",,
risk-benefit analysis,Comparison of potential harm versus benefits before implementing an assessment or intervention.,,
rule-governed behavior,Behavior controlled by verbal rules rather than direct contingencies; allows indirect control of remote consequences.,,
satiation,Decrease in behavior frequency due to continued contact with a reinforcer; also used as intervention to reduce reinforcer effectiveness.,,
scatterplot,Graph showing distribution of data across x- and y-axes; points not connected.,,
scatterplot recording,Procedure recording whether behavior occurs more in specific times using blocks of time and symbols.,,
schedule of reinforcement,Rule describing environmental arrangements and response requirements for reinforcement.,,
schedule thinning,"Gradually increasing response ratio or time interval, reducing reinforcement frequency.",,
science,"Systematic approach to understanding natural phenomena using determinism, empiricism, experimentation, replication, parsimony, and philosophic doubt.",,
scored-interval IOA,Agreement index based on intervals where either observer recorded occurrence; useful for low-rate behaviors.,,
selection by consequences,"Principle that operant behavior is selected and maintained by its consequences, like Darwin’s natural selection.",,
selection-based verbal behavior,Verbal behavior where speaker selects a stimulus to convey information (contrast with topography-based).,,
selectionism,Theory that life evolves through interaction of function and survival value; basis of operant selection.,,
self-contract,"A contract with oneself specifying tasks, rewards, and self-monitoring.",,
self-control (impulse analysis),"Ability to delay gratification by choosing larger, delayed rewards over smaller, immediate ones.",,
self-control (Skinner’s analysis),Two-response phenomenon where controlling responses alter variables affecting controlled responses.,,
self-evaluation,Comparing one’s performance to a goal or standard; often part of self-management.,,
self-instruction,Self-generated verbal prompts guiding behavior or tasks.,,
self-management,Application of behavior change tactics by an individual to produce desired changes in their own behavior.,,
self-monitoring,Procedure where a person observes and records their own behavior systematically.,,
semilogarithmic chart,Graph with logarithmic y-axis where equal distances represent proportional changes.,,
sensory extinction,Placing automatically reinforced behaviors on extinction by masking or removing sensory consequence.,,
sequence effects,Effects on behavior in a condition due to experience with prior conditions.,,
setting/situation generalization,Extent behavior occurs in settings different from instructional setting.,,
shaping,Using differential reinforcement of successive approximations toward a terminal behavior.,,
simple discrimination,"Responding under control of a single antecedent stimulus, defined by three-term contingency.",,
simple verbal discrimination,"Single word or phrase evokes a nonmatching intraverbal response (e.g., 'Ready, set' ? 'go').",,
simple-to-complex testing protocol,"Arrangement introducing stimulus equivalence probes sequentially: symmetry, then transitivity (if relevant), and finally combined equivalence tests.",,
single-case designs,"Research designs using baseline logic to demonstrate effects of the independent variable on individual subjects. Also called single-subject, within-subject, and intra-subject designs.",,
social validity,"Extent to which target behaviors are appropriate, procedures acceptable, and changes important/significant for client and stakeholders.",,
socially mediated contingency (reinforcement),Contingency where antecedent stimulus and/or behavior consequence is delivered by another person.,,
solistic (tact) extension,"Verbal response evoked by stimulus property indirectly related to proper tact relation (e.g., Yogi Berra’s malapropism: 'Baseball is ninety percent mental; the other half is physical').",,
spaced-responding DRL,DRL procedure where reinforcement follows target behavior if separated from previous response by a minimum IRT.,,
spatial relation,Responding jointly to two stimuli based on their spatial juxtaposition.,,
speaker,"Engages in verbal behavior by emitting mands, tacts, intraverbals, autoclitics, etc.; includes sign language, gestures, writing, codes, or pictures. Contrast with listener.",,
split-middle line of progress,"Line through graphed data showing overall trend, adjusted so half of points fall above and half below.",,
spontaneous recovery,Extinction-related effect where behavior reappears after decreasing to prereinforcement level or stopping entirely.,,
stable baseline,"Data showing no evidence of upward or downward trend, with measures within small range of values.",,
Standard Celeration Chart,Multiply-divide chart with six base-10 cycles on vertical axis for charting rates from 1 per 24 hrs to 1000 per minute.,,
steady state responding,Responding pattern with little variation in measured dimensions over time.,,
steady state strategy,Repeated exposure to a condition to achieve stable responding before introducing next condition.,,
stimulus,An energy change that affects an organism through receptor cells.,,
stimulus blocking,Competing stimulus prevents evocative function of another stimulus with stimulus control. Mitigated by arranging environment and reinforcing relevant SDs.,,
stimulus class,"Stimuli sharing specified elements along formal, temporal, and/or functional dimensions.",,
stimulus control,"When frequency, latency, duration, or amplitude of behavior is altered by presence/absence of antecedent stimulus.",,
stimulus delta (S?),"Stimulus in presence of which a behavior has not been reinforced, or has produced lower-quality reinforcement.",,
stimulus discrimination,SD signals reinforcement availability; S? signals reduced/no reinforcement. Responses occur more with SD.,,
stimulus discrimination training,"Conventional procedure requiring one behavior and two antecedent stimuli, reinforcing in SD presence but not in S?.",,
stimulus equivalence,"Accurate responding to untrained, nonreinforced relations after training; requires reflexivity, symmetry, and transitivity.",,
stimulus fading,Transferring stimulus control by highlighting a dimension of a stimulus and gradually reducing it.,,
stimulus generalization,Stimuli sharing features with controlling antecedent evoke same behavior as trained stimulus.,,
stimulus generalization gradient,Graphic depiction of extent of generalization versus discrimination across test stimuli.,,
stimulus preference assessment,"Procedures determining preferred stimuli, relative values, conditions of preference, and reinforcing value.",,
stimulus prompts,Prompts that operate on antecedent task stimuli to cue correct responses with critical SD.,,
stimulus-control topographies,Forms of stimulus control from match-to-sample: Type S (select response) and Type R (reject response).,,
stimulus-stimulus pairing,"Two stimuli presented simultaneously, resulting in one stimulus acquiring the function of the other.",,
successive approximations,"Sequence of new response classes during shaping, each closer to terminal behavior than the last.",,
surrogate conditioned motivating operation (CMO-S),Stimulus paired with another MO acquiring same value- and behavior-altering effects.,,
symmetry,"Stimulus-stimulus relation demonstrating reversibility of matching (if A = B, then B = A).",,
systematic desensitization,"A behavior therapy treatment for anxieties, fears, and phobias that involves substituting one response (e.g., relaxation) for the unwanted fear/anxiety response, practiced while imagining anxiety-producing situations.",,
systematic replication,"An experiment where the researcher purposefully varies one or more aspects of an earlier experiment, reproducing results under different conditions to add reliability and external validity.",,
tact,An elementary verbal operant involving a response evoked by a nonverbal discriminative stimulus and followed by generalized conditioned reinforcement; allows speaker to label or describe environment.,,
tact extension,"When a tact occurs under novel stimulus conditions through stimulus generalization; includes generic, metaphorical, metonymical, and solecistic types.",,
taking dictation,"An elementary verbal operant where a spoken verbal stimulus evokes a written, typed, or fingerspelled response with point-to-point correspondence but no formal similarity.",,
tandem schedule (tand),Reinforcement schedule identical to chained schedule except it does not use discriminative stimuli with chain elements (like mix schedule).,,
target behavior,"The response class selected for intervention, defined functionally or topographically.",,
task analysis,"Breaking a complex skill or behavior chain into smaller, teachable units; also the outcome of this process.",,
teach loosely,Strategy for promoting generalization by varying irrelevant stimuli across teaching to prevent narrow stimulus control.,,
teach enough examples,Generalization strategy teaching a subset of relevant examples and testing on untrained ones (similar to multiple exemplar training).,,
temporal extent,Every instance of behavior occurs during some amount of time; one of three fundamental dimensions of behavior measurement.,,
temporal locus,Every instance of behavior occurs at a certain point in time; measured by response latency and interresponse time (IRT).,,
temporal relation,Responding jointly to two stimuli based on their juxtaposition in time.,,
terminal behavior,The end product of shaping.,,
terminate specific reinforcer contact,Nonexclusion time-out variation where each target behavior occurrence immediately stops reinforcer activity.,,
textual,Elementary verbal operant evoked by written stimulus with point-to-point correspondence but no formal similarity.,,
three-term contingency,"Basic unit of operant analysis: antecedent, behavior, and consequence.",,
time delay,"Stimulus control transfer procedure beginning with simultaneous presentation of natural stimulus and prompt, then inserting delays until correct response occurs unprompted (errorless learning technique).",,
time sampling,Measurement recording behavior presence/absence in intervals; useful for continuous/high-rate behaviors.,,
time-out from positive reinforcement,"Response-contingent withdrawal of reinforcement opportunities for a set time, functioning as negative punishment.",,
token,"An object or symbol awarded for appropriate behavior, exchangeable for backup reinforcers; generalized conditioned reinforcer.",,
token economy,"System with target behaviors, tokens earned, and backup reinforcers available for exchange; also called token reinforcement system.",,
topography,The physical form or shape of a behavior.,,
topography-based definition,Defines responses by the form/shape of behavior rather than function.,,
topography-based verbal behavior,"Verbal behavior where listener is affected by specific response topography (e.g., speech, sign, writing); contrast with selection-based verbal behavior.",,
total count IOA,Simplest IOA for event recording: divide smaller count by larger and multiply by 100.,,
total duration IOA,IOA index for duration data: divide shorter duration by longer and multiply by 100.,,
total-task chaining,Forward chaining variation where learner trains on every chain behavior in each session.,,
training structure,"Procedural arrangements when teaching multiple conditional discriminations (e.g., one-to-many, many-to-one, linear series).",,
transcription,Elementary verbal operant evoked by spoken stimulus producing written/typed/fingerspelled response with point-to-point correspondence but no formal similarity.,,
transfer of function,When teaching a new function for one equivalence class member transfers same function to all class members.,,
transformation of function,Occurs when the behavioral function of one stimulus in a class changes predictably based on the function of other class members.,,
transitive conditioned motivating operation (CMO-T),"Environmental variable that, due to learning history, makes another stimulus more/less reinforcing and evokes/abates related behavior.",,
transitivity,"Derived stimulus-stimulus relations (e.g., A=C) emerging from training two other relations (A=B and B=C); part of equivalence.",,
treatment drift,Undesirable situation where the independent variable is applied differently at later stages than originally planned.,,
treatment integrity,Extent to which the independent variable is implemented as planned without unplanned variables (similar to procedural fidelity).,,
treatment package,"Behavioral intervention consisting of multiple components (e.g., praise, tokens, extinction).",,
trend,"Overall direction of a data path, described by direction, degree, and variability.",,
trial-based functional analysis,"Analysis with trials interspersed in activities, each with test (EO + contingency) and control (reinforcer access) conditions.",,
trial-by-trial IOA,"IOA index for discrete trial data, comparing observers’ 0/1 scores per trial; more conservative than total count IOA.",,
true value,"A measure accepted as an accurate description of a quantity in nature, obtained with extraordinary precautions to avoid error.",,
trials-to-criterion,Measure of number of responses/practice opportunities needed to reach a set proficiency level.,,
Type I error,False positive: concluding IV had an effect when it did not.,,
Type II error,False negative: concluding IV had no effect when it did.,,
unchaining,"In a chain, the second behavior produces reinforcement even without the prior stimulus, weakening the chain.",,
unconditioned punisher,Stimulus change decreasing behavior frequency regardless of learning history; product of evolution (primary punisher).,,
unconditioned reflex,"Unlearned S-R relation where antecedent stimulus elicits response (e.g., food-salivation).",,
unconditioned reinforcer,Stimulus change increasing behavior frequency regardless of learning history; product of evolution (primary reinforcer).,,
unconditioned stimulus (US),Stimulus in an unconditioned reflex that elicits respondent behavior without prior learning.,,
unpairing,"Procedure weakening stimulus functions by presenting conditioned stimulus without effective stimulus, or vice versa.",,
unscored-interval IOA,IOA index based only on intervals where both observers agreed on nonoccurrence; suited for high-rate behaviors.,,
validity (of measurement),Extent to which data are directly relevant to the target behavior and purpose of measurement.,,
value-altering effect,"MO effect that changes reinforcing effectiveness: EO increases value, AO decreases value.",,
variability,Extent to which repeated behavior measures differ; frequency and degree of outcome variation.,,
variable baseline,"Baseline data not consistent, not within a narrow range, lacking clear trend.",,
variable interval (VI),Reinforcement schedule delivering reinforcement for first response after variable time intervals with average duration.,,
variable ratio (VR),"Reinforcement schedule requiring varying numbers of responses for reinforcement, averaging to a specified mean.",,
unconditioned motivating operation (UMO),"MO whose value-altering effect does not depend on learning history (e.g., food deprivation).",,
unconditioned negative reinforcer,"Stimulus functioning as a negative reinforcer due to species history (e.g., shock, loud noise, extreme heat).",,
variable-interval DRO (VI-DRO),DRO procedure where reinforcement is available at the end of variable intervals if problem behavior did not occur.,,
variable-momentary DRO (VM-DRO),"DRO procedure where reinforcement is delivered at specific, variably spaced moments if problem behavior is absent.",,
variable-time schedule (VT),Schedule for noncontingent stimulus delivery at variable intervals averaging a given time.,,
verbal behavior,"Behavior reinforced through mediation of a listener; includes vocal and nonvocal forms such as speech, sign, or pointing.",,
verbal conditional discrimination (VCD),Type of convergent multiple control where one verbal stimulus alters the evocative effect of another verbal stimulus in the same antecedent setup.,,
verbal episode,"Interaction between speaker and listener involving verbal responses and reinforcement, with roles often alternating.",,
verbal function-altering effect,"Verbal stimuli change the functional effects of SDs and MOs, altering listener’s future behavior.",,
verification,"Component of baseline logic showing prior responding would remain unchanged without IV introduction, supporting accuracy of prediction.",,
video modeling,Behavior change strategy where learner watches a video of a model performing the target behavior and imitates it.,,
video self-modeling,Strategy where learner views video of themselves successfully performing the target behavior and imitates it.,,
visual analysis,"Systematic interpretation of research/treatment data through visual inspection of graphed results for level, trend, and variability.",,
whole-interval recording,Time-sampling method where observer records if behavior occurred during the entire interval; tends to underestimate occurrence.,,
withdrawal design,Also called A-B-A-B design; experiment withdrawing treatment sequentially to assess maintenance of behavior changes.,,
